	SPU_peptide	diadema.best
Number of genes	29129	37458
Number of genes in orthogroups	15364	14951
Number of unassigned genes	13765	22507
Percentage of genes in orthogroups	52.7	39.9
Percentage of unassigned genes	47.3	60.1
Number of orthogroups containing species	12317	12318
Percentage of orthogroups containing species	99.8	99.8
Number of species-specific orthogroups	28	29
Number of genes in species-specific orthogroups	327	305
Percentage of genes in species-specific orthogroups	1.1	0.8


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	29	28
'1	11019	10877
'2	935	1037
'3	166	212
'4	61	90
'5	40	26
'6	20	28
'7	12	9
'8	11	6
'9	9	5
'10	8	4
11-15	10	11
16-20	8	5
21-50	14	7
51-100	3	1
101-150	1	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.2	0.2
'1	89.3	88.1
'2	7.6	8.4
'3	1.3	1.7
'4	0.5	0.7
'5	0.3	0.2
'6	0.2	0.2
'7	0.1	0.1
'8	0.1	0.0
'9	0.1	0.0
'10	0.1	0.0
11-15	0.1	0.1
16-20	0.1	0.0
21-50	0.1	0.1
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	11019	10877
'2	1870	2074
'3	498	636
'4	244	360
'5	200	130
'6	120	168
'7	84	63
'8	88	48
'9	81	45
'10	80	40
11-15	124	139
16-20	145	90
21-50	451	211
51-100	232	70
101-150	128	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	37.8	29.0
'2	6.4	5.5
'3	1.7	1.7
'4	0.8	1.0
'5	0.7	0.3
'6	0.4	0.4
'7	0.3	0.2
'8	0.3	0.1
'9	0.3	0.1
'10	0.3	0.1
11-15	0.4	0.4
16-20	0.5	0.2
21-50	1.5	0.6
51-100	0.8	0.2
101-150	0.4	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
